group_review,id_revue,issn_p,issn_e
G2,1102,1969-0622,1760-7760
G2,1102,1634-359X,3038-8392
G2,1102,0750-7496,2971-1495
G2,1102,0750-750X,3038-8228
G2,1103,2605-7794,1969-6434
G2,1103,0151-1874,
G2,1103,2605-7867,2605-8383
G2,1103,0151-1874,3095-9721
G2,1103,2605-7778,3000-859X
G2,1104,1266-7706,1760-7264
G2,1104,1266-7706,1760-7264
G2,1105,,2077-3757
G2,1106,,2101-048X
G2,1107,0035-3213,2108-6478
G2,1108,0035-3299,1965-0779
G2,1109,0383-0802,2076-8427
G2,1110,1660-5934,1663-9669
G2,1111,,1762-6153
G2,1111,,1762-6153
G2,1112,,1951-669X
G2,1112,,1951-669X
G2,1113,1993-3800,1993-3819
G2,1114,1272-3819,1969-6302
G2,1116,1777-9006,2102-5878
G2,1117,0712-8657,1923-2705
G2,1118,,1961-9510
G2,1118,,1961-9510
G2,1119,0185-6286,2007-2392
G2,1120,1959-531X,1961-9057
G2,1121,1771-2084,2105-2549
G2,1122,,1760-8597
G2,1123,1167-315X,2107-0997
G2,1124,,1963-1820
G2,1124,,1963-1820
G2,1125,,1492-8442
G2,1126,1960-1360,2104-3728
G2,1126,0399-1237,2802-1630
G2,1130,,2107-6642
G2,1131,0003-4398,2496-7068
G2,1132,1774-0746,1773-0155
G2,1132,0249-5627,1297-9643
G2,1136,0153-1700,2429-4667
G2,1139,0982-9237,2427-9048
G2,1140,1634-8176,1775-3945
G2,1141,0767-0974,1958-5381
G2,1152,1956-3485,2111-4838
G2,1153,1967-2713,2118-0067
G2,1154,0007-4640,1775-3821
G2,1155,1763-718X,2118-3252
G2,1156,0701-0028,2369-1352
G2,1157,0303-965X,2411-2909
G2,1158,1160-7742,1760-6136
G2,1158,0012-320X,
G2,1162,1146-9447,2437-2277
G2,1162,0258-2880,2261-0596
G2,1162,0766-5598,0771-3444 2261-060X
G2,1163,1292-668X,2118-1942
G2,1164,1276-8944,1775-4305
G2,1165,1253-2711,2118-4585
G2,1166,1265-5449,2118-4496
G2,1166,0373-6261,2546-9029
G2,1166,1148-828X,2546-9010
G2,1167,1266-0078,2118-4518
G2,1168,1243-549X,2118-2892
G2,1169,2262-5321,2262-5372
G2,1171,0223-5498,2827-0827
G2,1173,,1778-4239
G2,1173,,1778-4239
G2,1179,0180-930X,2497-7098
G2,1183,1967-7375,2554-8689
G2,1184,0767-6468,2552-0016
G2,1186,3001-963X,2647-6614
G2,1186,2112-2679,1968-3820
G2,1187,1283-8497,2650-0825
G2,1188,1298-6046,1968-3928
G2,1188,1165-3558,2802-3706
G2,1189,1280-0082,2118-7169
G2,1191,0752-501X,2118-3015
G2,1192,1774-4466,1775-3856
G2,1200,0766-3838,2426-5519
G2,1208,1253-1871,2427-3244
G2,1217,1625-7480,2118-2760
G2,1249,1287-1141,2261-5512
G2,1255,1537-6370,1558-5271
G2,1259,1969-1009,2275-0517
G2,1287,1168-5549,1775-3546
G2,1288,0154-1854,2117-6973
G2,1295,1152-5908,2804-7923
G2,1296,1959-691X,2118-4674
G2,1297,1959-6944,2118-4631
G2,1298,1959-6928,2118-464X
G2,1305,,1286-4692
G2,1305,,1286-4692
G2,1313,1145-1882,2118-4224
G2,1314,0031-6032,2118-4038
G2,1321,0988-5226,2272-818X
G2,1325,1771-3757,2259-5082
G2,1325,1270-0665,1777-5604
G2,1332,0248-4951,2297-3850
G2,1334,1627-9239,
G2,1340,0031-4773,2540-3338
G2,1341,1951-9745,2101-0242
G2,1341,1950-1331,
G2,1343,1263-588X,2118-2191
G2,1344,0764-3470,
G2,1344,0764-3470,
G2,1351,0245-9442,2426-6507
G2,1355,1767-0543,2801-1783
G2,1356,0290-7674,2823-667X
G2,1375,1960-8020,2823-9725
G2,1377,0988-6982,2552-0040
G2,1390,1626-1682,2261-2599
G2,1395,1959-6782,2271-2194
G2,1401,0224-0424,2430-2961
G2,1402,1263-123X,2822-9096
G2,1405,1250-4165,2494-0739
G2,1415,1253-2479,2107-092X
G2,1416,0042-5605,2271-717X
G2,1425,0014-2204,2428-3509
G2,1428,0242-2794,2647-9982
G2,1430,1267-4397,2425-1356
G2,1431,0007-4403,1968-3766
G2,1431,0242-5432,2823-149X
G2,1442,0037-9069,1783-1385
G2,1457,0753-2776,2261-1010
G2,1458,0066-4871,2117-539X
G2,1473,1163-913X,2271-2186
G2,1475,0291-3798,2117-590X
G2,1475,0291-3798,2117-590X
G2,1476,1016-9008,2117-5624
G2,1477,1340-3656,2189-1893
G2,1478,1766-2524,1630-7542
G2,1479,0557-7705,2117-5683
G2,1480,0014-2808,2410-9231
G2,1482,2115-8177,1968-3944
G2,1483,0222-4194,2540-3532
G2,1512,0717-6554,0718-6568
G2,1514,0980-7764,2804-3359
G2,1522,1969-9123,2491-3049
G2,1523,0034-124X,2649-793X
G2,1524,,1775-4275
G2,1524,,1775-4275
G2,1526,,1951-6789
G2,1526,,1951-6789
G2,1529,1167-5101,2268-1590
G2,1530,,2259-4728
G2,1530,,2259-4728
G2,1531,1257-0273,1768-3084
G2,1534,0770-6081,2262-0753
G2,1535,2034-7650,2034-7669
G2,1536,0992-986X,2119-4130
G2,1537,2034-9130,2295-9149
G2,1541,2034-7634,2034-7642
G2,1542,0767-709X,1775-3732
G2,1546,0777-0707,2406-4696
G2,1547,1268-5666,1968-3758
G2,1548,0011-1600,1968-3901
G2,1549,1297-6628,2107-0636
G2,1550,0294-1805,1968-391X
G2,1551,1283-7091,1968-3839
G2,1552,0223-5706,1968-3952
G2,1553,1279-7766,1968-388X
G2,1554,,1968-3960
G2,1554,1951-0365,1968-3960
G2,1554,,1968-3960
G2,1557,1245-1274,1968-3871
G2,1558,1959-6936,1968-3774
G2,1559,1240-1307,1765-2979
G2,1561,0987-3260,2262-5135
G2,1563,0007-9731,2119-1026
G2,1565,1285-4093,2610-4377
G2,1566,2260-0965,2262-340X
G2,1570,,1925-4873
G2,1570,,1925-4873
G2,1571,2261-6268,2260-7927
G2,1572,1281-2463,1775-4283
G2,1573,2117-4148,1950-568X
G2,1573,1634-5495,
G2,1577,0248-9430,2264-7791
G2,1577,2257-5405,2119-5242
G2,1578,1627-9204,2117-4970
G2,1579,0994-1908,2108-646X
G2,1580,1266-6726,2275-2129
G2,1582,1774-4296,2256-9421
G2,1583,1488-0946,1929-7017
G2,1584,0183-973X,2259-8863
G2,1585,,1950-5701
G2,1585,,1950-5701
G2,1586,1952-8108,2109-9405
G2,1587,,1298-0390
G2,1588,0247-9788,2109-9421
G2,1590,,1760-5776
G2,1590,,1760-5776
G2,1591,1635-4079,1775-433X
G2,1592,,2111-5028
G2,1592,,2111-5028
G2,1593,1954-4863,1950-5698
G2,1593,0018-439X,2547-5614
G2,1595,0996-9403,1775-4224
G2,1596,1376-098X,2034-9564
G2,1597,1279-8657,2117-5209
G2,1598,1957-3383,1775-4135
G2,1599,0715-3570,1710-7377
G2,1600,,1778-3801
G2,1600,,1778-3801
G2,1601,1969-248X,2102-6416
G2,1602,,1630-7305
G2,1602,,1630-7305
G2,1603,1662-372X,2235-7688
G2,1604,0980-0891,2259-4574
G2,1607,0035-2039,2260-8079
G2,1612,1148-6023,2547-3913
G2,1613,1272-520X,2262-483X
G2,1615,2114-6497,2779-1912
G2,1635,0040-3075,2272-9356
G2,1640,0222-9838,1783-1601
G2,1642,0003-4134,2261-4427
